Hour,Timestamp,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32
10,2025-01-01 10:00:00,1.0,0.99950594,0.9989891,0.99844944,0.9979007,0.99734294,0.9967715,0.9961989,0.99562514,0.9950489,0.99447024,0.9938904,0.9933094,0.99281526,0.992269,0.99172276,0.9912926,0.99097854,0.9906645,0.9903505,0.9900365,0.9897225,0.98940855,0.9890947,0.9887808,0.9884669,0.9881531,0.9878393,0.9875255,0.98721176,0.986898,0.9865843,0.9862706
11,2025-01-01 11:00:00,1.0,0.99970245,0.99938047,0.9990339,0.9986776,0.9983116,0.99793077,0.99755,0.9971693,0.9967886,0.9964079,0.9960273,0.99564666,0.99527526,0.9949616,0.99464804,0.9943514,0.9940669,0.99378246,0.9934981,0.99321365,0.9929293,0.99264497,0.9923606,0.9920763,0.991792,0.9915077,0.99122345,0.99093926,0.99065506,0.99037087,0.9900867,0.98980254
12,2025-01-01 12:00:00,1.0,0.999888,0.9997511,0.99958926,0.99941754,0.99923587,0.9990393,0.99884045,0.99863935,0.99843377,0.99822366,0.9980113,0.9977967,0.9975822,0.99742526,0.9972684,0.9971115,0.9968392,0.996567,0.9962948,0.9960226,0.9957504,0.9954783,0.9952061,0.994934,0.9946619,0.99438983,0.99411774,0.9938457,0.9935737,0.9933017,0.9930297,0.99275774
13,2025-01-01 13:00:00,1.0,1.0001997,1.0003753,1.0005267,1.0006685,1.0008006,1.0009183,1.0010358,1.0011532,1.0012704,1.0013874,1.0015042,1.0016209,1.0016514,1.0016246,1.0014547,1.0012757,1.0009933,1.0007107,1.0004283,1.0001459,0.9998635,0.99958116,0.9992988,0.99901646,0.9987342,0.9984519,0.9981696,0.9978874,0.99760514,0.997323,0.99704075,0.99675864
14,2025-01-01 14:00:00,1.0,1.0000733,1.000144,1.0002122,1.0002794,1.0003456,1.0004102,1.000474,1.0005369,1.000598,1.0006573,1.0007157,1.0007732,1.000753,1.0006868,1.0004904,1.0001792,0.999868,0.9995567,0.9992455,0.9989344,0.99862325,0.9983121,0.99800104,0.99768996,0.99737895,0.9970679,0.9967569,0.99644595,0.99613506,0.9958241,0.99551326,0.99520236
15,2025-01-01 15:00:00,1.0,0.9998001,0.9995804,0.9993409,0.9990934,0.99883807,0.9985708,0.9983025,0.9980332,0.9977619,0.9974886,0.99721426,0.9969389,0.9966636,0.99638826,0.99611294,0.995743,0.9953731,0.9950032,0.9946334,0.9942635,0.9938938,0.993524,0.99315435,0.9927847,0.9924151,0.99204546,0.9916759,0.99130636,0.9909369,0.99056745,0.990198,0.98982865
16,2025-01-01 16:00:00,1.0,0.9995976,0.99917924,0.99874496,0.99830425,0.9978572,0.99740064,0.99694395,0.9964871,0.9960299,0.99557245,0.9951149,0.9946572,0.9941996,0.9937419,0.9932844,0.99282694,0.9923695,0.9919121,0.9914548,0.9909975,0.99054027,0.9900831,0.989626,0.98916894,0.98871195,0.988255,0.9877981,0.9873413,0.9868845,0.9864278,0.9859711,0.98551446
17,2025-01-01 17:00:00,1.0,0.99947935,0.9989474,0.99840397,0.99785614,0.9973037,0.9967446,0.9961835,0.99562055,0.99505365,0.9944829,0.99391013,0.99333555,0.992761,0.99218655,0.9916122,0.9910379,0.99046373,0.9898896,0.9893156,0.9887417,0.9881678,0.98759407,0.9870204,0.9864468,0.9858733,0.9852998,0.9847265,0.9841533,0.9835801,0.983007,0.98243403,0.9818611
18,2025-01-01 18:00:00,1.0,0.9994448,0.99888366,0.99831665,0.9977473,0.9971756,0.9966004,0.9960252,0.9954502,0.9948752,0.9943003,0.9937255,0.9931508,0.9925761,0.9920016,0.9914271,0.9908527,0.9902784,0.9897042,0.9891301,0.988556,0.9879821,0.9874082,0.9868344,0.9862607,0.9856871,0.98511356,0.9845401,0.98396677,0.9833935,0.9828203,0.9822472,0.9816742
19,2025-01-01 19:00:00,1.0,0.99952644,0.99905294,0.9985795,0.9981061,0.9976328,0.99715954,0.99668455,0.99620795,0.9957279,0.9952444,0.9947592,0.99427235,0.99378556,0.9932988,0.9928121,0.9923255,0.99183893,0.99135244,0.990866,0.99037963,0.9898933,0.98940706,0.98892087,0.98843473,0.98794866,0.9874627,0.98697674,0.98649085,0.986005,0.9855193,0.9850336,0.9845479
20,2025-01-01 20:00:00,1.0,0.99960005,0.9992001,0.9988002,0.9984004,0.9980006,0.99760085,0.9972011,0.9968014,0.99640167,0.99600196,0.99560225,0.9952026,0.99480295,0.99440336,0.99400383,0.9936043,0.99320483,0.9928054,0.992406,0.99200666,0.99160737,0.9912081,0.99080884,0.9904097,0.99001056,0.98961145,0.9892124,0.9888134,0.9884144,0.9880155,0.9876166,0.9872177
21,2025-01-01 21:00:00,1.0,0.9991299,0.99825996,0.9973902,0.99652064,0.9956513,0.99478215,0.99391305,0.9930441,0.99217504,0.991306,0.99043703,0.9895682,0.9887867,0.9880635,0.987486,0.9870251,0.98668075,0.98633647,0.9859922,0.985648,0.9853038,0.9849596,0.9846155,0.9842714,0.9839273,0.9835833,0.9832393,0.9828953,0.98255134,0.9822074,0.98186356,0.9815197
22,2025-01-01 22:00:00,1.0,0.99927753,0.99855524,0.9978331,0.997111,0.99638915,0.99566734,0.9949346,0.99419093,0.9934252,0.9926374,0.99183863,0.9910289,0.99030644,0.98964214,0.9891233,0.9887208,0.9884347,0.9881486,0.9878625,0.98757654,0.9872905,0.9870045,0.98671854,0.9864326,0.9861467,0.98586076,0.9855749,0.98528904,0.9850032,0.98471737,0.98443156,0.98414576
23,2025-01-01 23:00:00,1.0,0.9996992,0.99939835,0.9990975,0.99879676,0.998496,0.99819523,0.9978933,0.9975901,0.99728453,0.9969765,0.9966672,0.9963567,0.99605536,0.99576014,0.9954801,0.9952123,0.9949567,0.994701,0.99444544,0.99418986,0.9939343,0.9936787,0.99342316,0.99316764,0.9929121,0.99265665,0.9924012,0.9921457,0.9918903,0.99163485,0.99137944,0.9911241
